query,engine,domain,URL,title,text
gmail,Google,gmail.google.com,https://gmail.google.com/inbox/,Inbox by Gmail - Googlehttps://gmail.google.com › inbox,Inbox by Gmail is going away at the end of March 2019. Use the new Gmail to help you get more done and continue your conversations without interruption.
gmail,Google,gmail.com,https://www.gmail.com/mail/help/intl/es/about.html?iframe,el correo electrónico de Google - Gmailhttps://www.gmail.com › intl › about,"La sencillez y facilidad de Gmail en todo tipo de dispositivos. Organiza tu vida con la bandeja de entrada de Gmail, que clasifica tus mensajes por tipos."
gmail,Bing,gmail.com,https://www.gmail.com/mail/help/intl/es/about.html?iframe,Gmail: el correo electrónico de Google,"La sencillez y facilidad de Gmail en todo tipo de dispositivos. Organiza tu vida con la bandeja de entrada de Gmail, que clasifica tus mensajes por tipos. Además, habla con amigos en una videollamada, chatea con un compañero o llama por teléfono sin salir de …"
